conf,status,map_50,map_50_95,precision,recall,f1,tp,fp,fn,images,fp_per_image,fn_per_image,unknown_predictions,is_production_default
0.01,evaluated,0.6337,0.5985,0.4512,0.9938,0.6206,1272,1547,8,120,12.8917,0.0667,0,False
0.03,evaluated,0.6303,0.5954,0.4691,0.9859,0.6358,1262,1428,18,120,11.9,0.15,0,False
0.05,evaluated,0.6287,0.5939,0.4758,0.9812,0.6408,1256,1384,24,120,11.5333,0.2,0,False
0.1,evaluated,0.6248,0.5902,0.4882,0.9711,0.6498,1243,1303,37,120,10.8583,0.3083,0,False
0.18,evaluated,0.6061,0.5724,0.5099,0.9258,0.6576,1185,1139,95,120,9.4917,0.7917,0,True
0.2,evaluated,0.5995,0.566,0.5171,0.9094,0.6593,1164,1087,116,120,9.0583,0.9667,0,False
