conf,status,map_50,map_50_95,precision,recall,f1,tp,fp,fn,images,fp_per_image,fn_per_image,unknown_predictions,is_production_default
0.18,evaluated,0.6061,0.5724,0.5099,0.9258,0.6576,1185,1139,95,120,9.4917,0.7917,0,True
0.3,evaluated,0.5433,0.5126,0.556,0.7758,0.6477,993,793,287,120,6.6083,2.3917,0,False
0.4,evaluated,0.4864,0.4585,0.6112,0.6547,0.6322,838,533,442,120,4.4417,3.6833,0,False
0.5,evaluated,0.4054,0.3814,0.6768,0.5055,0.5787,647,309,633,120,2.575,5.275,0,False
0.6,evaluated,0.3343,0.3155,0.7868,0.3805,0.5129,487,132,793,120,1.1,6.6083,0,False
0.7,evaluated,0.2843,0.2694,0.8871,0.307,0.4562,393,50,887,120,0.4167,7.3917,0,False
